long,lat,id,plaza,tipo,tipo_norma,materiales,dias_y_horario,cooperativa,calle,altura,calle2,direccion,barrio,comuna,observaciones
-58.3990098954512,-34.5966492074738,68,Sede Comuna 2,Punto Verde De Interior (Totem),punto_verde_de_interior_totem,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,Ceibo,Pres. José E. Uriburu,1022,,"URIBURU JOSE E., PRES. 1022",Recoleta,Comuna 2,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.4448294454045,-34.6048827557738,69,Plaza Benito Nazar,Punto Verde Con Atención,punto_verde_con_atencion,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Miércoles a Domingos de 11 a 19 hs.,Amanecer,Antezana,0,Olaya,ANTEZANA y OLAYA,Villa Crespo,Comuna 15,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.4743731875924,-34.6459455943673,70,Polidep. Parque Avellaneda,Punto Verde De Interior (Totem),punto_verde_de_interior_totem,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,RUO,Av. Lacarra,1257,,LACARRA AV. 1257,Parque Avellaneda,Comuna 9,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.4911408878655,-34.6221984221089,71,Polidep. Pomar/Floresta,Punto Verde De Interior (Totem),punto_verde_de_interior_totem,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,Alamo,Mercedes,1300,,MERCEDES 1300,Floresta,Comuna 10,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.444622877224504,-34.6330462526228,72,Polidep. Chacabuco,Punto Verde De Interior (Totem),punto_verde_de_interior_totem,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,Amanecer,Av. Eva Peron,1410,,"PERON, EVA AV. 1410",Parque Chacabuco,Comuna 7,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.4439773675627,-34.580076636898696,73,Polidep. Colegiales,Punto Verde De Interior (Totem),punto_verde_de_interior_totem,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,Amanecer,Gral. Rámon Freire,120,,"FREIRE, RAMON, CAP. GRAL. 120",Colegiales,Comuna 13,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.441379162475606,-34.5870242659301,74,Sede Comuna 15,Punto Verde De Interior (Totem),punto_verde_de_interior_totem,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,Amanecer,Av. Cordoba,5690,,CORDOBA  AV. 5690,Chacarita,Comuna 15,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.376459745145596,-34.6383257297867,75,Polidep. Don Pepe,Punto Verde De Interior (Totem),punto_verde_de_interior_totem,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,El Trebol,"Hornos, Gral.",0,Brandsen,"HORNOS, GRAL. y BRANDSEN",Barracas,Comuna 4,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.3893810778778,-34.64927141268689,76,Polidep. Pereyra,Punto Verde De Interior (Totem),punto_verde_de_interior_totem,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,Aleli,Velez Sarsfield Av.,1271,,VELEZ SARSFIELD AV. 1271,Barracas,Comuna 4,"Para entregar los materiales, éstos deben estar limpios y secos"
-58.4895166894511,-34.5725187435243,77,Plaza Echeverria,Punto Verde Especial,punto_verde_especial,Aparatos de informática y comunicación (hasta 3 unid. y accesorios) /pequeños electrodomésticos (hasta 3 un.)/ papel / cartón / metal / vidrio / plástico / telgopor / tetra-brik / Aceite Vegetal usado,Miércoles a Domingos de 11 a 19 hs.,Amanecer,Dr. Pedro Ignacio Rivera,0,Bauness,"RIVERA, PEDRO I., DR. y BAUNESS",Villa Urquiza,Comuna 12,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)"
